"Envelope","Name","PostDate","FullType","FundCode","Description","Amount","Reference","GiftDescription","Value","SName","IndvID"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","04/12/2015","Check","1","General Pledge","$30.00","5891","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","05/10/2015","Check","1","General Pledge","$90.00","5898","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","05/17/2015","Check","1","General Pledge","$60.00","5902","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","05/31/2015","Check","1","General Pledge","$60.00","5905","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","06/14/2015","Check","1","General Pledge","$60.00","5910","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","06/28/2015","Check","1","General Pledge","$60.00","5913","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","07/27/2015","Check","1","General Pledge","$120.00","5921","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","08/16/2015","Check","1","General Pledge","$90.00","5928","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","08/24/2015","Check","1","General Pledge","$30.00","5929","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","08/30/2015","Check","1","General Pledge","$30.00","5930","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","10/25/2015","Check","1","General Pledge","$180.00","5952","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","11/13/2015","Check","1","General Pledge","$90.00","5960","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","11/15/2015","Check","1","General Pledge","$30.00","5961","","$0.00","REDACTED","REDACTED"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","12/27/2015","Check","1","General Pledge","$150.00","5979","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","01/11/2015","Check","1","General Pledge","$200.00","2801","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","02/09/2015","Check","1","General Pledge","$200.00","2774","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","03/01/2015","Check","1","General Pledge","$200.00","2775","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","04/12/2015","Check","1","General Pledge","$200.00","2843","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","05/10/2015","Check","17","Rector Disc Fund","$200.00","2822","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","06/07/2015","Check","17","Rector Disc Fund","$200.00","2829","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","08/09/2015","Check","1","General Pledge","$200.00","2863","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","11/01/2015","Check","1","General Pledge","$200.00","2874","","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","11/29/2015","Check","1","General Pledge","$200.00","2878","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","01/04/2015","Check","1","General Pledge","$350.00","1250","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","01/20/2015","Check","1","General Pledge","$350.00","1260","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","02/01/2015","Check","1","General Pledge","$350.00","1276","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","02/15/2015","Check","1","General Pledge","$350.00","1290","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","02/22/2015","Check","1","General Pledge","$100.00","1295","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","03/01/2015","Check","1","General Pledge","$350.00","1303","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","03/22/2015","Check","1","General Pledge","$350.00","1332","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","04/12/2015","Check","1","General Pledge","$100.00","1353","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","05/03/2015","Check","1","General Pledge","$350.00","1389","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","05/10/2015","Check","1","General Pledge","$100.00","1401","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","05/17/2015","Check","1","General Pledge","$350.00","1405","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","05/31/2015","Check","1","General Pledge","$350.00","1421","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","06/07/2015","Check","1","General Pledge","$100.00","1427","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","06/21/2015","Check","1","General Pledge","$100.00","1442","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","07/13/2015","Check","1","General Pledge","$350.00","1466","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","07/19/2015","Check","1","General Pledge","$350.00","1481","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","08/02/2015","Check","1","General Pledge","$450.00","1501","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","08/16/2015","Check","1","General Pledge","$500.00","1512","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","08/24/2015","Check","1","General Pledge","$350.00","1525","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","09/06/2015","Check","1","General Pledge","$500.00","1543","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","09/13/2015","Check","1","General Pledge","$100.00","1550","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","09/20/2015","Check","1","General Pledge","$500.00","1560","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","10/04/2015","Check","1","General Pledge","$500.00","1570","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","10/18/2015","Check","1","General Pledge","$500.00","1583","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","10/25/2015","Check","1","General Pledge","$250.00","1596","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","11/01/2015","Check","1","General Pledge","$250.00","1599","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","11/15/2015","Check","1","General Pledge","$500.00","1617","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","11/22/2015","Check","1","General Pledge","$250.00","1631","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","12/06/2015","Check","108","Restoration & Repair Fund","$100.00","1654","HVAC","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","12/13/2015","Check","28","Soup Kitchen","$100.00","1661","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","12/20/2015","Check","99","WRC meals","$50.00","1673","","$0.00","REDACTED","REDACTED"
"REDACTED","98d2512484c067c9914cd341e6bdace4","12/23/2015","Check","1","General Pledge","$200.00","1681","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","01/25/2015","Check","1","General Pledge","$35.00","2015","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","02/01/2015","Check","1","General Pledge","$35.00","2026","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","02/09/2015","Check","1","General Pledge","$35.00","2033","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","02/22/2015","Check","1","General Pledge","$35.00","2043","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","03/01/2015","Check","1","General Pledge","$35.00","2049","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","03/09/2015","Check","1","General Pledge","$35.00","2060","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","03/16/2015","Check","1","General Pledge","$35.00","2062","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","03/29/2015","Check","1","General Pledge","$35.00","2073","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","04/19/2015","Check","1","General Pledge","$35.00","2084","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","04/27/2015","Check","1","General Pledge","$35.00","2093","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","05/17/2015","Check","1","General Pledge","$35.00","2112","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","05/31/2015","Check","1","General Pledge","$35.00","2121","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","06/07/2015","Check","1","General Pledge","$35.00","2128","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","06/14/2015","Check","1","General Pledge","$35.00","2131","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","06/21/2015","Check","1","General Pledge","$35.00","2135","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","06/28/2015","Check","1","General Pledge","$35.00","2141","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","07/13/2015","Check","1","General Pledge","$35.00","2149","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","07/19/2015","Check","1","General Pledge","$35.00","2152","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","07/27/2015","Check","1","General Pledge","$35.00","2158","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","08/02/2015","Check","1","General Pledge","$35.00","2162","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","08/09/2015","Check","1","General Pledge","$35.00","2170","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","08/24/2015","Check","1","General Pledge","$35.00","2175","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","08/30/2015","Check","1","General Pledge","$35.00","2189","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","09/06/2015","Check","1","General Pledge","$35.00","2197","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","09/13/2015","Check","1","General Pledge","$35.00","2199","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","09/20/2015","Check","1","General Pledge","$35.00","2204","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","09/28/2015","Check","1","General Pledge","$35.00","2211","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","10/04/2015","Check","1","General Pledge","$35.00","2215","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","10/11/2015","Check","1","General Pledge","$35.00","2220","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","10/18/2015","Check","1","General Pledge","$35.00","2223","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","10/25/2015","Check","1","General Pledge","$35.00","2231","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","11/01/2015","Check","1","General Pledge","$35.00","2236","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","11/08/2015","Check","1","General Pledge","$35.00","2245","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","11/15/2015","Check","1","General Pledge","$35.00","2248","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","11/22/2015","Check","1","General Pledge","$35.00","2256","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","12/13/2015","Check","1","General Pledge","$35.00","2272","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","12/20/2015","Check","1","General Pledge","$35.00","2281","","$0.00","REDACTED","REDACTED"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","12/29/2015","Check","1","General Pledge","$35.00","2287","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","01/25/2015","Check","1","General Pledge","$440.00","0096597470","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","03/06/2015","Check","1","General Pledge","$440.00","0006173188","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","03/06/2015","Check","13","Easter Memorials","$25.00","9164","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","04/02/2015","Check","1","General Pledge","$440.00","0014875523","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","05/03/2015","Check","1","General Pledge","$440.00","0040694761","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","06/07/2015","Check","1","General Pledge","$440.00","50210351","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","06/07/2015","Check","77","Pass Through","$50.00","9186","SM flooring","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","06/30/2015","Check","1","General Pledge","$440.00","0059222665","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","08/09/2015","Check","1","General Pledge","$440.00","68405935","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","09/06/2015","Check","1","General Pledge","$440.00","77718170","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","09/28/2015","Check","1","General Pledge","$440.00","86728895","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","11/06/2015","Check","1","General Pledge","$440.00","96051707","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","12/06/2015","Check","1","General Pledge","$440.00","5308606","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","12/29/2015","Check","1","General Pledge","$440.00","15114992","","$0.00","REDACTED","REDACTED"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","12/29/2015","Check","14","Christmas Memorials","$30.00","14779295","","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","01/21/2015","Check","1","General Pledge","$40.00","","draft 012015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","02/20/2015","Check","1","General Pledge","$40.00","","draft 022015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","03/20/2015","Check","1","General Pledge","$40.00","","draft 032015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","04/20/2015","Check","1","General Pledge","$40.00","","draft 042015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","05/20/2015","Check","1","General Pledge","$40.00","","draft 052015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","06/21/2015","Check","1","General Pledge","$40.00","","draft 062015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","07/21/2015","Check","1","General Pledge","$40.00","","draft 072015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","08/20/2015","Check","1","General Pledge","$40.00","","draft 082015","$0.00","REDACTED","REDACTED"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","09/21/2015","Check","1","General Pledge","$40.00","","draft 092015","$0.00","REDACTED","REDACTED"
