"Envelope","Name","FundCode","Description","NonPledgePTD","Pledge","CPledgePTD","OPledgePTD","PrePay","Balance","SName","Year"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","1","General Pledge","$5,280.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","13","Easter Memorials","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","14","Christmas Memorials","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","23","Altar supplies","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","94","Choral Scholars","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","db9c9a409dc9d05f4850cb38ca6a1052","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","1","General Pledge","$40.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","0882e96f730aa24a1165e085e3ee93a4","1","General Pledge","$1,000.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","92efb9454ba2719f4d8c413cc740eeb8","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","4c405eee3c1187b743ba28eae740d372","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","13c8d014dc165d0e411ffcde772f6a39","1","General Pledge","$4,900.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","13c8d014dc165d0e411ffcde772f6a39","108","Restoration & Repair Fund","$1,014.46","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","da2c676b9ebd3d80a729fdfd2e24144e","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","2fbfc14ecf0d4d152f668acb643687a9","1","General Pledge","$0.00","$520.00","$490.00","$0.00","$0.00","$30.00","REDACTED","2016"
"REDACTED","c41ac1017d7340ff80995778c3b275e0","1","General Pledge","$2,290.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","650b45c4293f614aa438aaff53f10611","1","General Pledge","$190.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","458bb29168a6f1e896afa7487d5ca837","1","General Pledge","$570.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","85fea2bbfc27d7550af4a525be239ce2","1","General Pledge","$0.00","$660.00","$660.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","85fea2bbfc27d7550af4a525be239ce2","94","Choral Scholars","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","34d052cae3cac04fe3ce507e410e9f8a","1","General Pledge","$0.00","$1,040.00","$360.00","$0.00","$0.00","$680.00","REDACTED","2016"
"REDACTED","34d052cae3cac04fe3ce507e410e9f8a","10","Easter Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","34d052cae3cac04fe3ce507e410e9f8a","119","Bricks","$300.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7647d91b36778df24f2b7c70c0bcae1a","1","General Pledge","$1,200.00","$3,300.00","$3,300.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7647d91b36778df24f2b7c70c0bcae1a","14","Christmas Memorials","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7647d91b36778df24f2b7c70c0bcae1a","28","Soup Kitchen","$300.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7647d91b36778df24f2b7c70c0bcae1a","108","Restoration & Repair Fund","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","07b878237917c188723fd1636e610d0f","1","General Pledge","$3,010.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","07b878237917c188723fd1636e610d0f","5","Memorial Fund","$85.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","07b878237917c188723fd1636e610d0f","13","Easter Memorials","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","07b878237917c188723fd1636e610d0f","80","Daughters of the King","$75.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","07b878237917c188723fd1636e610d0f","124","Designated Gifts","$1,600.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","73b253a31f51a418787506162b56a5b1","1","General Pledge","$825.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","73b253a31f51a418787506162b56a5b1","10","Easter Offering","$70.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","73b253a31f51a418787506162b56a5b1","11","Christmas Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","73b253a31f51a418787506162b56a5b1","82","Good Friday Offering","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","73b253a31f51a418787506162b56a5b1","94","Choral Scholars","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1516f49d2025438b299f771343bc9f83","1","General Pledge","$0.00","$2,400.00","$2,225.00","$0.00","$0.00","$175.00","REDACTED","2016"
"REDACTED","1516f49d2025438b299f771343bc9f83","6","Mead Hall","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1516f49d2025438b299f771343bc9f83","10","Easter Offering","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1516f49d2025438b299f771343bc9f83","28","Soup Kitchen","$200.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1516f49d2025438b299f771343bc9f83","29","Outreach General","$125.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1516f49d2025438b299f771343bc9f83","48","Music","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1516f49d2025438b299f771343bc9f83","80","Daughters of the King","$10.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","018ea81ee466b35e24bb316eb84524e2","1","General Pledge","$0.00","$2,700.00","$2,700.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","018ea81ee466b35e24bb316eb84524e2","48","Music","$200.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","018ea81ee466b35e24bb316eb84524e2","108","Restoration & Repair Fund","$500.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","a0a9d9980a50efe036281f4d84aac4ad","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","cfc4be3107ab9b65eb64c25292227008","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","1","General Pledge","$4,000.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","10","Easter Offering","$200.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","11","Christmas Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b99139ec80136091fc05e820615c64dd","1","General Pledge","$550.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1a7ccf8bc4592cae93bc206fad53f047","17","Rector Disc Fund","$500.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d1fdc8e11cfe7454790cf5eca103d96a","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","1","General Pledge","$0.00","$2,400.00","$2,400.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","10","Easter Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","11","Christmas Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","48","Music","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","100","Youth Missions","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d3a1b552ea16fbb669f137fa5edf2662","1","General Pledge","$2,400.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","e5d1e19cb15081b754badcc6af8ed220","1","General Pledge","$0.00","$2,640.00","$1,320.00","$0.00","$0.00","$1,320.00","REDACTED","2016"
"REDACTED","ad9aff000c658837a0f2032f8626e546","1","General Pledge","$1,202.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7974cb04cc897f87385a1bce4ab5fb6f","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","8f73c1d42908a78cf87200c5a82da72e","1","General Pledge","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","8fddac720863f4a4b82cbfb78f00c5c6","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b41a03174c8f6e58d7b97b2864142a05","1","General Pledge","$4,500.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b41a03174c8f6e58d7b97b2864142a05","6","Mead Hall","$125.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b41a03174c8f6e58d7b97b2864142a05","48","Music","$140.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","9777ee81aaec4023cc21f9dbb605adcb","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","156e5c550bbe13884fcc267fb35beac0","1","General Pledge","$1,000.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","46e9fb3bfeb911f40a24f332c8dd2762","1","General Pledge","$3,350.00","$2,400.00","$2,400.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","46e9fb3bfeb911f40a24f332c8dd2762","71","Bldg & Grnds General","$400.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","46e9fb3bfeb911f40a24f332c8dd2762","108","Restoration & Repair Fund","$500.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3efbbf5c81d43aeae69cf76b0e2f5e03","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","094452a48406e2e584717d225e7057eb","1","General Pledge","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","51992773018919aa2410c14be32f646d","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","4df025d4ab75843b834d0e4a209f4746","1","General Pledge","$12,552.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","4df025d4ab75843b834d0e4a209f4746","13","Easter Memorials","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","4df025d4ab75843b834d0e4a209f4746","14","Christmas Memorials","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","2f9d0ef6bec8d4fab62a844b17948331","1","General Pledge","$350.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","2f9d0ef6bec8d4fab62a844b17948331","28","Soup Kitchen","$240.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","54c577db2aa7d50796ff7d3bd6d0356d","1","General Pledge","$944.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","1871d3f4d2d0de3bda6b1d0e657e39d0","1","General Pledge","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","9ae457a5235c2e2ded392dcc8baa1036","1","General Pledge","$200.00","$4,800.00","$4,800.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","9ae457a5235c2e2ded392dcc8baa1036","10","Easter Offering","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","9ae457a5235c2e2ded392dcc8baa1036","28","Soup Kitchen","$0.00","$300.00","$300.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","2926e2a1914d0226d7ba1b7a613dcbe6","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","46619477835994793befb29c145be439","1","General Pledge","$2,400.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","96a5b8a7b4ce6b24ffef8ed606825ce4","5","Memorial Fund","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","96a5b8a7b4ce6b24ffef8ed606825ce4","94","Choral Scholars","$15.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","8256be212acfac631b1ac7b5f8f63bb1","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b5ccea2c0efd15bd89dd1e2ac54d7552","1","General Pledge","$3,900.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7c9c63ac9a023ca34be4efea3496ec5f","1","General Pledge","$40.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","be22b207d217eecdd2bfdf4cec1ccde6","1","General Pledge","$150.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","be22b207d217eecdd2bfdf4cec1ccde6","108","Restoration & Repair Fund","$280.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","f282cede4ffc8242dc96fbf20d3990ef","1","General Pledge","$150.00","$520.00","$520.00","$520.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","f282cede4ffc8242dc96fbf20d3990ef","108","Restoration & Repair Fund","$0.00","$60.00","$60.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","fad9d78a0a991c9ae014e3a8468ef271","1","General Pledge","$430.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","fad9d78a0a991c9ae014e3a8468ef271","23","Altar supplies","$60.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","662132c76cc32d534e338223b40015c4","1","General Pledge","$1,460.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","662132c76cc32d534e338223b40015c4","11","Christmas Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","c325a9a79c800329f86b59c6563943b2","1","General Pledge","$0.00","$2,236.00","$2,233.00","$0.00","$0.00","$3.00","REDACTED","2016"
"REDACTED","c325a9a79c800329f86b59c6563943b2","28","Soup Kitchen","$20.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","c325a9a79c800329f86b59c6563943b2","33","Harris Scholarship","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","c325a9a79c800329f86b59c6563943b2","48","Music","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","34062eb6dc291f292d18d149b481e109","1","General Pledge","$0.00","$2,860.00","$2,740.00","$0.00","$0.00","$120.00","REDACTED","2016"
"REDACTED","17c01b389b9f7741449d52032bd121d6","1","General Pledge","$600.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","17c01b389b9f7741449d52032bd121d6","78","Office Expense Donat","$20.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","4d242da36e6f78d397fcfca038c10e38","1","General Pledge","$13.00","$7,540.00","$3,540.00","$2,000.00","$4,000.00","$0.00","REDACTED","2016"
"REDACTED","69928f733c5e3f784eeb731305863cb8","1","General Pledge","$400.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","89d0fcd15f15a405784a9a991c890a51","10","Easter Offering","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","4e36cb3cda0f652221ffbbed6aef6aff","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","c67ff94d297ebbb313525e2777aa3410","1","General Pledge","$25.00","$1,500.00","$1,500.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","c67ff94d297ebbb313525e2777aa3410","14","Christmas Memorials","$40.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3f73c1ed58c6999a3a823dc361fc3645","1","General Pledge","$3,600.00","$1,020.00","$1,020.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3f73c1ed58c6999a3a823dc361fc3645","5","Memorial Fund","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","3f73c1ed58c6999a3a823dc361fc3645","14","Christmas Memorials","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","ca3109a37e17f760aa99a1c4fa1ab3e2","1","General Pledge","$0.00","$1,300.00","$1,200.00","$0.00","$0.00","$100.00","REDACTED","2016"
"REDACTED","d733668f86ec8cf1db3040dc1bea43bb","1","General Pledge","$1,650.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d733668f86ec8cf1db3040dc1bea43bb","10","Easter Offering","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d733668f86ec8cf1db3040dc1bea43bb","28","Soup Kitchen","$150.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","5c6ba351f91f11f5fb718e3ba2d302b2","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","97176303a026c05385e2b640c49d15ae","1","General Pledge","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7f019c33e07f852d8c71dcecbd7e9819","1","General Pledge","$3,900.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","fd59aee7fe388e6441a3d84a51da9e75","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","534790549ec80eb93970eac90038a78b","1","General Pledge","$190.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","857aeb876159317c6e8cc9163511649b","1","General Pledge","$0.00","$1,200.00","$1,200.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","857aeb876159317c6e8cc9163511649b","11","Christmas Offering","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","857aeb876159317c6e8cc9163511649b","108","Restoration & Repair Fund","$0.00","$200.00","$200.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","71ffc31f2518e1d61572bc57eb9a0e1f","1","General Pledge","$0.00","$2,700.00","$2,700.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","71ffc31f2518e1d61572bc57eb9a0e1f","48","Music","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","aa3df2b28dd7f57b1d1557bace8f28c1","1","General Pledge","$2,636.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","aa3df2b28dd7f57b1d1557bace8f28c1","10","Easter Offering","$150.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","5befd0dae6d38d1452a7e84398c47644","1","General Pledge","$300.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","c31a77fafa5259cc5ad0c34b89263054","1","General Pledge","$2,550.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","328d9d05b8be0c9d0a333591ed14c4e5","1","General Pledge","$650.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","328d9d05b8be0c9d0a333591ed14c4e5","80","Daughters of the King","$20.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","8229f079a7da755ff4d628edff383c8e","1","General Pledge","$0.00","$2,400.00","$2,090.61","$0.00","$0.00","$309.39","REDACTED","2016"
"REDACTED","8229f079a7da755ff4d628edff383c8e","14","Christmas Memorials","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","8b2797c090fdbb4568b87d7c1cec8655","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","f7f765b143bd671e4c6134dface77f2a","1","General Pledge","$20.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","463bef5d37be6cefd5fce8871d4ffffb","1","General Pledge","$45.00","$6,240.00","$6,240.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","463bef5d37be6cefd5fce8871d4ffffb","5","Memorial Fund","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","463bef5d37be6cefd5fce8871d4ffffb","48","Music","$500.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","463bef5d37be6cefd5fce8871d4ffffb","108","Restoration & Repair Fund","$380.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","e24d608f6a2a1b2e42dcfdf79552d165","1","General Pledge","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","b3f78b6407c0cf9443569f3a745184e6","5","Memorial Fund","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","d1ad0a129e4a2510d2f667766e636383","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","22cedda275302958c5cf7b650cbad9c1","1","General Pledge","$0.00","$1,800.00","$1,800.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","a5877c2b897975bbb854e53c2dd94380","1","General Pledge","$0.00","$3,600.00","$3,050.00","$0.00","$0.00","$550.00","REDACTED","2016"
"REDACTED","a5877c2b897975bbb854e53c2dd94380","5","Memorial Fund","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","a5877c2b897975bbb854e53c2dd94380","13","Easter Memorials","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","a5877c2b897975bbb854e53c2dd94380","14","Christmas Memorials","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","aa342c07696e5ef12b3b54a22c23be70","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","cdd64882fc448d7eeaf9083962ce50ec","1","General Pledge","$0.00","$2,400.00","$2,400.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","cdd64882fc448d7eeaf9083962ce50ec","5","Memorial Fund","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","cdd64882fc448d7eeaf9083962ce50ec","77","Pass Through","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","cdd64882fc448d7eeaf9083962ce50ec","80","Daughters of the King","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","cdd64882fc448d7eeaf9083962ce50ec","94","Choral Scholars","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7397be306e9092352deb9db99329fa1f","1","General Pledge","$2,400.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","7397be306e9092352deb9db99329fa1f","77","Pass Through","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","58b0aff82412b5360283ba85e46dbcfa","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
"REDACTED","c2b5cc5413d495256bd46caffe43e382","1","General Pledge","$700.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2016"
